PERMNO,date,vwretd
25582,2013-12-02,-0.003638
25582,2013-12-03,-0.003715
25582,2013-12-04,-0.000941
25582,2013-12-05,-0.003514
25582,2013-12-06,0.009683
25582,2013-12-09,0.001868
25582,2013-12-10,-0.002813
25582,2013-12-11,-0.012070
25582,2013-12-12,-0.002543
25582,2013-12-13,0.001277
25582,2013-12-16,0.006445
25582,2013-12-17,-0.002344
25582,2013-12-18,0.014462
25582,2013-12-19,-0.001026
25582,2013-12-20,0.006904
25582,2013-12-23,0.006229
25582,2013-12-24,0.003476
25582,2013-12-26,0.003993
25582,2013-12-27,-0.000061
25582,2013-12-30,0.000277
25582,2013-12-31,0.004255
25582,2014-01-02,-0.008757
25582,2014-01-03,0.000491
25582,2014-01-06,-0.003340
25582,2014-01-07,0.006090
25582,2014-01-08,0.000155
25582,2014-01-09,0.000090
25582,2014-01-10,0.003567
25582,2014-01-13,-0.011641
25582,2014-01-14,0.010257
25582,2014-01-15,0.005066
25582,2014-01-16,-0.000279
25582,2014-01-17,-0.003454
25582,2014-01-21,0.003351
25582,2014-01-22,0.001484
25582,2014-01-23,-0.008159
25582,2014-01-24,-0.021135
25582,2014-01-27,-0.006632
25582,2014-01-28,0.007293
25582,2014-01-29,-0.009930
25582,2014-01-30,0.011487
25582,2014-01-31,-0.005796
25582,2014-02-03,-0.023197
25582,2014-02-04,0.007612
25582,2014-02-05,-0.001952
25582,2014-02-06,0.011924
25582,2014-02-07,0.012595
25582,2014-02-10,0.001576
25582,2014-02-11,0.010599
25582,2014-02-12,0.001149
25582,2014-02-13,0.006957
25582,2014-02-14,0.004104
25582,2014-02-18,0.003182
25582,2014-02-19,-0.006797
25582,2014-02-20,0.006440
25582,2014-02-21,-0.000817
25582,2014-02-24,0.006174
25582,2014-02-25,-0.001268
25582,2014-02-26,0.001034
25582,2014-02-27,0.004900
25582,2014-02-28,0.001673
25582,2014-03-03,-0.006637
25582,2014-03-04,0.015433
25582,2014-03-05,0.000357
25582,2014-03-06,0.001723
25582,2014-03-07,-0.000796
25582,2014-03-10,-0.001258
25582,2014-03-11,-0.005526
25582,2014-03-12,0.001300
25582,2014-03-13,-0.011137
25582,2014-03-14,-0.001383
25582,2014-03-17,0.008275
25582,2014-03-18,0.007665
25582,2014-03-19,-0.006779
25582,2014-03-20,0.004709
25582,2014-03-21,-0.002864
25582,2014-03-24,-0.006075
25582,2014-03-25,0.003439
25582,2014-03-26,-0.008153
25582,2014-03-27,-0.001045
25582,2014-03-28,0.004470
25582,2014-03-31,0.009182
25582,2014-04-01,0.008258
25582,2014-04-02,0.002821
25582,2014-04-03,-0.003118
25582,2014-04-04,-0.012591
25582,2014-04-07,-0.011655
25582,2014-04-08,0.005386
25582,2014-04-09,0.011291
25582,2014-04-10,-0.020774
25582,2014-04-11,-0.009794
25582,2014-04-14,0.006520
25582,2014-04-15,0.005170
25582,2014-04-16,0.010627
25582,2014-04-17,0.002272
25582,2014-04-21,0.003484
25582,2014-04-22,0.005567
25582,2014-04-23,-0.002758
25582,2014-04-24,0.000719
25582,2014-04-25,-0.009470
25582,2014-04-28,0.001060
25582,2014-04-29,0.005627
25582,2014-04-30,0.003405
25582,2014-05-01,0.000772
25582,2014-05-02,-0.000260
25582,2014-05-05,0.001302
25582,2014-05-06,-0.008724
25582,2014-05-07,0.004403
25582,2014-05-08,-0.002682
25582,2014-05-09,0.001571
25582,2014-05-12,0.011167
25582,2014-05-13,-0.000666
25582,2014-05-14,-0.004726
25582,2014-05-15,-0.008375
25582,2014-05-16,0.003401
25582,2014-05-19,0.004287
25582,2014-05-20,-0.006933
25582,2014-05-21,0.007421
25582,2014-05-22,0.003498
25582,2014-05-23,0.004761
25582,2014-05-27,0.005896
25582,2014-05-28,-0.001316
25582,2014-05-29,0.004918
25582,2014-05-30,0.000641
25582,2014-06-02,0.000707
25582,2014-06-03,-0.000369
25582,2014-06-04,0.002554
25582,2014-06-05,0.007261
25582,2014-06-06,0.005115
25582,2014-06-09,0.001870
25582,2014-06-10,-0.000362
25582,2014-06-11,-0.003074
25582,2014-06-12,-0.005675
25582,2014-06-13,0.003056
25582,2014-06-16,0.001411
25582,2014-06-17,0.002951
25582,2014-06-18,0.006963
25582,2014-06-19,0.001678
25582,2014-06-20,0.002081
25582,2014-06-23,0.000131
25582,2014-06-24,-0.006979
25582,2014-06-25,0.005115
25582,2014-06-26,-0.000561
25582,2014-06-27,0.002890
25582,2014-06-30,0.001035
25582,2014-07-01,0.006789
25582,2014-07-02,-0.000317
25582,2014-07-03,0.004968
25582,2014-07-07,-0.006110
25582,2014-07-08,-0.007345
25582,2014-07-09,0.004480
25582,2014-07-10,-0.004858
25582,2014-07-11,0.000777
25582,2014-07-14,0.004563
25582,2014-07-15,-0.003284
25582,2014-07-16,0.003751
25582,2014-07-17,-0.010966
25582,2014-07-18,0.010250
25582,2014-07-21,-0.002171
25582,2014-07-22,0.005105
25582,2014-07-23,0.001843
25582,2014-07-24,0.000244
25582,2014-07-25,-0.005025
25582,2014-07-28,-0.000513
25582,2014-07-29,-0.003659
25582,2014-07-30,0.000540
25582,2014-07-31,-0.019359
25582,2014-08-01,-0.003442
25582,2014-08-04,0.007129
25582,2014-08-05,-0.008884
25582,2014-08-06,0.000300
25582,2014-08-07,-0.004897
