date,LHX,ENB,CRM,vwretd
2013-12-02,-0.007286,-0.005080,-0.010175,-0.003638
2013-12-03,0.002655,-0.004376,0.001358,-0.003715
2013-12-04,0.007943,-0.010989,0.012396,-0.000941
2013-12-05,0.001391,0.011852,0.014922,-0.003514
2013-12-06,0.024842,0.008785,0.015646,0.009683
2013-12-09,0.003162,0.000484,-0.003712,0.001868
2013-12-10,-0.015308,-0.000242,0.000745,-0.002813
2013-12-11,-0.001372,-0.009432,-0.042628,-0.012070
2013-12-12,-0.003052,0.005371,-0.008750,-0.002543
2013-12-13,0.003521,0.004857,0.002942,0.001277
2013-12-16,0.012967,0.005800,0.000587,0.006445
2013-12-17,0.001657,-0.003364,0.020719,-0.002344
2013-12-18,0.015186,0.012777,0.021831,0.014462
2013-12-19,0.006517,0.011664,-0.005435,-0.001026
2013-12-20,0.011477,0.001882,0.012248,0.006904
2013-12-23,0.004801,0.007046,0.016009,0.006229
2013-12-24,-0.001448,0.006763,0.004031,0.003476
2013-12-26,0.010149,0.007413,0.000912,0.003993
2013-12-27,0.007033,-0.011037,-0.007293,-0.000061
2013-12-30,-0.005274,0.008835,0.013223,0.000277
2013-12-31,0.000287,0.006684,0.000363,0.004255
2014-01-02,-0.019052,-0.009386,-0.005979,-0.008757
2014-01-03,0.011974,0.000924,0.004739,0.000491
2014-01-06,-0.007215,-0.010159,-0.016147,-0.003340
2014-01-07,0.003052,0.000000,0.013277,0.006090
2014-01-08,-0.015940,0.006531,0.036215,0.000155
2014-01-09,0.006774,0.006952,-0.011415,0.000090
2014-01-10,0.008629,-0.002992,0.011725,0.003567
2014-01-13,-0.014646,-0.006694,-0.012994,-0.011641
2014-01-14,0.019720,-0.011620,0.023128,0.010257
2014-01-15,0.010824,-0.003762,0.038428,0.005066
2014-01-16,0.007853,0.009441,-0.008540,-0.000279
2014-01-17,-0.000708,-0.002338,0.010978,-0.003454
2014-01-21,-0.000567,-0.002344,0.018209,0.003351
2014-01-22,0.004823,0.000940,0.003117,0.001484
2014-01-23,-0.015246,-0.002112,-0.017337,-0.008159
2014-01-24,-0.024369,-0.010348,-0.027963,-0.021135
2014-01-27,0.009403,-0.001426,-0.022603,-0.006632
2014-01-28,0.025328,-0.005950,0.040119,0.007293
2014-01-29,0.000568,-0.007661,-0.023749,-0.009930
2014-01-30,-0.010074,0.006031,0.051932,0.011487
2014-01-31,-0.006163,0.006954,-0.007217,-0.005796
